account_id,customer_id,account_type,opening_date,status,balance
1001,1,Business,2022-09-04,Dormant,45715.87
1002,2,Savings,2019-08-22,Closed,42287.83
1003,3,Savings,2020-05-12,Active,38619.7
1004,4,Savings,2019-07-03,Dormant,40594.41
1005,5,Savings,2019-06-22,Active,37019.66
1006,6,Business,2024-05-06,Active,17842.57
1007,7,Checking,2019-04-13,Active,13032.8
1008,8,Business,2020-09-13,Active,47754.53
1009,9,Savings,2022-03-20,Active,11419.61
1010,10,Savings,2019-08-21,Active,31240.91
1011,11,Business,2021-03-03,Active,40002.22
1012,12,Business,2022-04-23,Active,45497.88
1013,13,Savings,2022-11-24,Active,39477.86
1014,14,Business,2021-08-16,Active,23211.71
1015,15,Savings,2020-07-08,Active,49656.31
1016,16,Business,2020-09-15,Active,40344.45
1017,17,Business,2023-03-13,Active,32897.69
1018,18,Business,2019-09-08,Dormant,6636.09
1019,19,Business,2019-12-29,Closed,5228.33
1020,20,Savings,2023-05-12,Active,1496.89
1021,21,Business,2020-12-15,Active,38207.62
1022,22,Business,2022-04-18,Active,41726.33
1023,23,Business,2024-06-15,Active,44895.43
1024,24,Business,2019-06-26,Active,26638.07
1025,24,Business,2019-06-07,Active,43653.0
1026,25,Savings,2022-12-04,Active,8700.1
1027,26,Business,2024-01-30,Active,27868.13
1028,26,Business,2024-01-11,Dormant,26583.25
1029,27,Savings,2021-02-16,Dormant,2935.45
1030,27,Checking,2021-01-09,Active,38635.83
1031,28,Savings,2019-06-05,Active,22218.09
1032,28,Business,2019-06-09,Dormant,25656.86
1033,29,Business,2021-04-22,Dormant,40387.37
1034,30,Business,2021-08-21,Active,46146.93
1035,31,Checking,2023-09-27,Active,20890.19
1036,32,Checking,2021-02-01,Active,33590.66
1037,32,Savings,2021-01-31,Active,33506.66
1038,33,Savings,2019-08-15,Closed,32208.55
1039,34,Checking,2019-02-03,Active,48380.48
1040,35,Savings,2020-09-16,Active,44258.15
1041,36,Savings,2021-03-09,Active,35345.55
1042,37,Checking,2022-12-06,Active,17895.08
1043,37,Business,2022-11-20,Active,1072.2
1044,38,Business,2021-08-21,Active,19278.79
1045,38,Business,2021-08-26,Active,25661.89
1046,39,Savings,2021-04-04,Active,4294.66
1047,40,Savings,2019-05-10,Active,37813.25
1048,41,Business,2020-01-22,Active,20356.8
1049,41,Business,2020-01-02,Dormant,24781.14
1050,42,Checking,2019-08-03,Active,39999.42
1051,43,Savings,2019-08-23,Active,46923.65
1052,44,Checking,2024-01-16,Active,30448.05
1053,45,Checking,2022-07-27,Active,22743.3
1054,46,Checking,2021-10-03,Active,31123.0
1055,47,Business,2021-09-14,Active,46912.48
1056,48,Savings,2019-11-08,Active,10168.24
1057,49,Checking,2021-10-17,Dormant,37998.96
1058,50,Business,2020-03-24,Closed,8977.2
