delivery_id,order_id,courier,dispatch_date,expected_delivery_date,delivery_date,delivery_status
9001,1,FastShip Logistics,2023-12-23,2023-12-28,2023-12-28,Delivered
9002,2,UrbanExpress,2023-07-05,2023-07-09,2023-07-11,Delivered
9003,3,UrbanExpress,2023-12-08,2023-12-15,2023-12-21,Delayed
9004,4,QuickCourier,2023-12-28,2024-01-02,2024-01-04,Delivered
9005,6,MetroDelivery,2023-03-16,2023-03-23,2023-03-22,Delivered
9006,8,QuickCourier,2023-11-02,2023-11-07,2023-11-07,Delivered
9007,10,FastShip Logistics,2023-01-30,2023-02-04,2023-02-04,Delivered
9008,12,FastShip Logistics,2023-11-22,2023-11-25,2023-11-28,Delayed
9009,14,QuickCourier,2023-10-10,2023-10-13,2023-10-13,Delivered
9010,15,QuickCourier,2023-08-29,2023-09-05,2023-09-11,Delayed
9011,16,GlobalPost,2023-12-22,2023-12-27,2023-12-27,Delivered
9012,21,UrbanExpress,2023-04-24,2023-04-27,,Failed
9013,22,MetroDelivery,2023-08-11,2023-08-16,2023-08-15,Delivered
9014,23,FastShip Logistics,2023-07-13,2023-07-16,2023-07-16,Delivered
9015,24,FastShip Logistics,2023-05-09,2023-05-16,2023-05-17,Delivered
9016,25,MetroDelivery,2023-04-19,2023-04-26,,Failed
9017,26,FastShip Logistics,2023-05-20,2023-05-24,2023-05-24,Delivered
9018,27,UrbanExpress,2023-09-25,2023-09-30,,Failed
9019,28,MetroDelivery,2023-08-31,2023-09-03,2023-09-02,Delivered
9020,29,QuickCourier,2023-08-02,2023-08-07,2023-08-09,Delivered
9021,31,GlobalPost,2023-11-25,2023-11-30,2023-11-30,Delivered
9022,32,MetroDelivery,2023-11-26,2023-12-01,2023-12-03,Delivered
9023,33,MetroDelivery,2023-08-02,2023-08-09,2023-08-09,Delivered
9024,34,UrbanExpress,2023-04-08,2023-04-11,2023-04-11,Delivered
9025,35,MetroDelivery,2023-09-18,2023-09-23,,Failed
9026,36,UrbanExpress,2023-10-18,2023-10-22,2023-10-22,Delivered
9027,37,GlobalPost,2023-07-20,2023-07-23,2023-07-24,Delivered
9028,39,FastShip Logistics,2023-08-05,2023-08-10,2023-08-11,Delivered
9029,40,UrbanExpress,2023-05-18,2023-05-22,2023-05-22,Delivered
9030,41,MetroDelivery,2023-10-18,2023-10-25,2023-10-25,Delivered
9031,42,GlobalPost,2023-12-25,2023-12-28,2023-12-27,Delivered
9032,43,QuickCourier,2023-07-12,2023-07-15,2023-07-25,Delayed
9033,44,MetroDelivery,2023-06-26,2023-07-03,2023-07-05,Delivered
9034,45,QuickCourier,2023-12-08,2023-12-15,2023-12-14,Delivered
9035,46,MetroDelivery,2023-03-28,2023-04-04,2023-04-03,Delivered
9036,47,MetroDelivery,2023-12-02,2023-12-07,2023-12-06,Delivered
9037,50,GlobalPost,2023-12-30,2024-01-04,2024-01-07,Delayed
9038,51,QuickCourier,2023-12-25,2023-12-29,,Failed
9039,54,QuickCourier,2023-09-10,2023-09-15,2023-09-16,Delivered
9040,55,GlobalPost,2023-11-03,2023-11-10,2023-11-10,Delivered
9041,56,QuickCourier,2023-07-18,2023-07-22,2023-07-22,Delivered
9042,58,GlobalPost,2023-06-24,2023-06-29,2023-06-29,Delivered
9043,59,GlobalPost,2023-11-10,2023-11-17,2023-11-17,Delivered
9044,60,FastShip Logistics,2023-10-01,2023-10-08,2023-10-08,Delivered
9045,61,MetroDelivery,2023-05-03,2023-05-08,2023-05-08,Delivered
9046,64,UrbanExpress,2023-05-13,2023-05-17,,Failed
9047,65,UrbanExpress,2023-10-12,2023-10-19,2023-10-25,Delayed
9048,66,QuickCourier,2023-11-14,2023-11-17,2023-11-19,Delivered
9049,67,FastShip Logistics,2023-03-26,2023-03-31,2023-03-30,Delivered
9050,68,GlobalPost,2023-11-22,2023-11-27,2023-12-04,Delayed
9051,69,UrbanExpress,2023-10-19,2023-10-24,,Failed
9052,70,GlobalPost,2023-07-15,2023-07-20,2023-07-20,Delivered
9053,71,QuickCourier,2023-08-19,2023-08-22,2023-08-23,Delivered
9054,72,QuickCourier,2023-11-24,2023-11-29,2023-12-04,Delayed
9055,74,GlobalPost,2023-11-30,2023-12-03,,Failed
9056,75,QuickCourier,2023-11-08,2023-11-12,2023-11-19,Delayed
9057,76,GlobalPost,2023-12-22,2023-12-29,2024-01-08,Delayed
9058,77,FastShip Logistics,2023-08-21,2023-08-28,2023-08-28,Delivered
9059,78,FastShip Logistics,2023-06-24,2023-06-28,2023-06-29,Delivered
9060,79,UrbanExpress,2023-02-28,2023-03-03,2023-03-09,Delayed
9061,80,GlobalPost,2023-01-21,2023-01-25,2023-01-25,Delivered
9062,81,MetroDelivery,2023-12-31,2024-01-03,2024-01-03,Delivered
9063,82,UrbanExpress,2023-11-08,2023-11-15,2023-11-17,Delivered
9064,83,UrbanExpress,2023-07-07,2023-07-11,,Failed
9065,86,MetroDelivery,2023-05-17,2023-05-20,2023-05-20,Delivered
9066,88,MetroDelivery,2023-10-22,2023-10-27,2023-10-27,Delivered
9067,89,GlobalPost,2023-11-05,2023-11-10,2023-11-10,Delivered
9068,91,MetroDelivery,2023-12-04,2023-12-11,2023-12-13,Delivered
9069,92,UrbanExpress,2023-12-02,2023-12-09,2023-12-09,Delivered
9070,93,QuickCourier,2023-09-22,2023-09-26,2023-09-26,Delivered
9071,94,UrbanExpress,2023-10-27,2023-11-01,2023-11-01,Delivered
9072,95,MetroDelivery,2023-08-11,2023-08-15,2023-08-16,Delivered
9073,97,UrbanExpress,2023-04-26,2023-05-01,2023-05-02,Delivered
9074,99,QuickCourier,2023-06-15,2023-06-20,2023-06-21,Delivered
9075,100,UrbanExpress,2023-11-19,2023-11-24,2023-11-25,Delivered
9076,102,MetroDelivery,2023-04-24,2023-04-29,2023-04-28,Delivered
9077,103,FastShip Logistics,2023-12-03,2023-12-08,2023-12-08,Delivered
9078,105,GlobalPost,2023-11-28,2023-12-03,2023-12-02,Delivered
9079,107,FastShip Logistics,2023-07-14,2023-07-19,,Failed
9080,108,QuickCourier,2023-11-17,2023-11-22,,Failed
9081,109,QuickCourier,2023-07-03,2023-07-08,2023-07-08,Delivered
9082,110,UrbanExpress,2023-01-27,2023-02-03,2023-02-10,Delayed
9083,112,MetroDelivery,2023-11-25,2023-11-29,2023-11-30,Delivered
9084,113,QuickCourier,2023-11-03,2023-11-06,2023-11-05,Delivered
9085,114,UrbanExpress,2023-02-26,2023-03-02,2023-03-11,Delayed
9086,115,QuickCourier,2023-08-18,2023-08-23,,Failed
9087,116,UrbanExpress,2023-11-04,2023-11-08,2023-11-15,Delayed
9088,118,FastShip Logistics,2023-11-20,2023-11-23,2023-11-23,Delivered
9089,119,GlobalPost,2023-10-31,2023-11-05,2023-11-05,Delivered
9090,120,FastShip Logistics,2023-09-06,2023-09-13,2023-09-15,Delivered
9091,121,MetroDelivery,2023-08-09,2023-08-14,2023-08-16,Delivered
9092,122,MetroDelivery,2023-12-12,2023-12-19,2023-12-19,Delivered
9093,123,FastShip Logistics,2023-10-07,2023-10-11,2023-10-10,Delivered
9094,127,QuickCourier,2023-10-29,2023-11-03,2023-11-03,Delivered
9095,128,GlobalPost,2023-10-13,2023-10-20,2023-10-19,Delivered
9096,130,GlobalPost,2023-10-17,2023-10-20,2023-10-20,Delivered
9097,131,FastShip Logistics,2023-12-19,2023-12-26,2023-12-28,Delivered
9098,134,UrbanExpress,2023-03-11,2023-03-16,2023-03-16,Delivered
9099,135,QuickCourier,2024-01-01,2024-01-06,2024-01-06,Delivered
9100,136,GlobalPost,2023-02-23,2023-02-27,,Failed
9101,138,FastShip Logistics,2023-12-09,2023-12-16,2023-12-21,Delayed
9102,139,GlobalPost,2023-08-29,2023-09-03,2023-09-02,Delivered
9103,140,QuickCourier,2023-12-13,2023-12-16,2023-12-16,Delivered
9104,141,QuickCourier,2023-03-03,2023-03-10,2023-03-10,Delivered
9105,143,UrbanExpress,2023-12-23,2023-12-27,,Failed
9106,144,QuickCourier,2023-02-14,2023-02-21,2023-02-21,Delivered
9107,145,UrbanExpress,2023-12-26,2023-12-31,2024-01-08,Delayed
9108,146,MetroDelivery,2023-10-07,2023-10-12,2023-10-13,Delivered
9109,147,QuickCourier,2023-11-27,2023-11-30,2023-12-07,Delayed
9110,148,QuickCourier,2023-12-07,2023-12-11,2023-12-11,Delivered
9111,149,QuickCourier,2023-07-19,2023-07-22,2023-07-23,Delivered
9112,152,MetroDelivery,2023-09-11,2023-09-14,2023-09-14,Delivered
9113,154,UrbanExpress,2023-08-01,2023-08-06,2023-08-13,Delayed
9114,155,MetroDelivery,2023-07-01,2023-07-06,2023-07-05,Delivered
9115,156,GlobalPost,2023-12-13,2023-12-18,2023-12-20,Delivered
9116,157,UrbanExpress,2023-08-26,2023-08-31,2023-09-02,Delivered
9117,159,GlobalPost,2023-04-23,2023-04-27,2023-04-27,Delivered
9118,160,GlobalPost,2023-08-03,2023-08-08,2023-08-09,Delivered
9119,162,MetroDelivery,2023-12-23,2023-12-30,2023-12-31,Delivered
9120,163,UrbanExpress,2023-11-01,2023-11-04,2023-11-03,Delivered
9121,165,UrbanExpress,2023-12-07,2023-12-12,,Failed
9122,166,UrbanExpress,2023-03-07,2023-03-11,,Failed
9123,167,GlobalPost,2023-09-03,2023-09-07,2023-09-06,Delivered
9124,168,UrbanExpress,2023-02-13,2023-02-16,2023-02-15,Delivered
9125,169,MetroDelivery,2023-11-23,2023-11-27,2023-11-28,Delivered
9126,170,FastShip Logistics,2023-12-07,2023-12-11,2023-12-11,Delivered
9127,171,UrbanExpress,2023-10-31,2023-11-05,2023-11-05,Delivered
9128,173,MetroDelivery,2023-05-25,2023-05-30,2023-05-30,Delivered
9129,174,MetroDelivery,2023-04-02,2023-04-06,2023-04-07,Delivered
9130,175,UrbanExpress,2023-10-13,2023-10-16,2023-10-15,Delivered
9131,176,FastShip Logistics,2023-09-09,2023-09-16,2023-09-18,Delivered
9132,177,QuickCourier,2023-09-29,2023-10-04,2023-10-07,Delayed
9133,178,UrbanExpress,2023-03-23,2023-03-30,2023-03-30,Delivered
