loan_id,customer_id,loan_type,loan_amount,issue_date,due_date,term_months,status
5001,4,Home,72676.83,2020-08-21,2025-07-26,60,Active
5002,5,Auto,9957.71,2020-04-08,2024-03-18,48,Late Payment
5003,9,Home,47483.38,2024-06-09,2028-05-19,48,Active
5004,11,Education,55400.72,2023-05-02,2026-04-16,36,Paid Off
5005,14,Auto,70535.52,2024-04-06,2026-03-27,24,Active
5006,15,Auto,10258.44,2023-05-03,2027-04-12,48,Active
5007,17,Education,63060.02,2023-08-29,2027-08-08,48,Paid Off
5008,19,Education,64936.88,2021-11-08,2023-10-29,24,Defaulted
5009,19,Business,30524.56,2022-05-26,2027-04-30,60,Late Payment
5010,20,Business,39794.38,2025-12-15,2029-11-24,48,Paid Off
5011,21,Personal,32887.84,2023-08-17,2028-07-21,60,Active
5012,22,Business,43019.9,2025-03-19,2029-02-26,48,Paid Off
5013,22,Personal,62898.49,2024-09-11,2026-09-01,24,Active
5014,25,Personal,38298.06,2025-02-20,2027-02-10,24,Active
5015,28,Business,37853.75,2021-11-08,2023-10-29,24,Defaulted
5016,28,Home,79271.4,2020-12-28,2024-12-07,48,Paid Off
5017,29,Education,64692.51,2021-12-01,2026-11-05,60,Active
5018,31,Education,69695.43,2024-03-22,2029-02-24,60,Active
5019,35,Auto,8987.75,2022-10-28,2027-10-02,60,Paid Off
5020,36,Education,74617.87,2022-09-06,2025-08-21,36,Paid Off
5021,38,Education,76667.68,2022-07-09,2027-06-13,60,Defaulted
5022,38,Personal,49800.3,2023-06-28,2025-06-17,24,Late Payment
5023,39,Home,44454.54,2022-02-16,2023-02-11,12,Active
5024,39,Auto,28213.55,2023-03-30,2028-03-03,60,Active
5025,40,Auto,53745.25,2021-11-26,2025-11-05,48,Paid Off
5026,41,Home,33686.55,2022-12-15,2025-11-29,36,Active
5027,41,Education,24558.47,2020-10-07,2024-09-16,48,Defaulted
5028,42,Education,4156.98,2022-08-28,2023-08-23,12,Paid Off
5029,42,Auto,78578.75,2020-06-10,2025-05-15,60,Late Payment
5030,43,Business,21116.64,2020-02-17,2023-02-01,36,Defaulted
5031,44,Auto,65707.01,2025-08-02,2028-07-17,36,Paid Off
5032,46,Business,64625.2,2021-09-28,2023-09-18,24,Paid Off
5033,46,Home,16709.65,2023-03-16,2027-02-23,48,Active
5034,48,Education,77983.48,2023-02-03,2027-01-13,48,Defaulted
5035,49,Education,34258.67,2024-08-12,2025-08-07,12,Defaulted
5036,50,Home,22713.19,2022-09-27,2023-09-22,12,Paid Off
5037,50,Personal,36942.09,2021-08-01,2022-07-27,12,Active
