order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,42,4,80.38,321.52
2,1,48,2,220.86,441.72
3,1,11,2,265.0,530.0
4,1,12,3,150.95,452.85
5,2,35,2,156.11,312.22
6,2,43,1,15.73,15.73
7,2,24,4,110.23,440.92
8,3,34,2,127.37,254.74
9,3,24,2,110.23,220.46
10,3,33,4,75.02,300.08
11,3,19,4,115.28,461.12
12,3,8,4,57.74,230.96
13,4,32,3,224.11,672.33
14,4,31,1,194.12,194.12
15,5,29,2,307.15,614.3
16,5,20,2,50.18,100.36
17,5,48,4,220.86,883.44
18,5,9,2,169.16,338.32
19,5,47,4,297.46,1189.84
20,6,30,4,49.36,197.44
21,6,13,1,47.25,47.25
22,6,32,1,224.11,224.11
23,6,15,3,219.9,659.7
24,6,47,2,297.46,594.92
25,7,46,1,243.69,243.69
26,7,45,3,208.41,625.23
27,7,5,3,24.88,74.64
28,7,17,4,18.95,75.8
29,7,49,1,132.57,132.57
30,8,16,2,45.06,90.12
31,8,41,3,218.0,654.0
32,8,9,1,169.16,169.16
33,9,14,3,141.31,423.93
34,9,3,1,41.88,41.88
35,9,44,2,205.1,410.2
36,9,22,2,171.78,343.56
37,10,49,1,132.57,132.57
38,11,41,3,218.0,654.0
39,11,2,4,317.19,1268.76
40,11,24,4,110.23,440.92
41,11,10,4,82.1,328.4
42,12,15,1,219.9,219.9
43,12,50,3,152.35,457.05
44,12,38,4,165.56,662.24
45,12,48,2,220.86,441.72
46,13,14,2,141.31,282.62
47,13,4,2,153.57,307.14
48,13,30,2,49.36,98.72
49,14,35,1,156.11,156.11
50,14,42,4,80.38,321.52
51,15,50,2,152.35,304.7
52,16,34,3,127.37,382.11
53,16,45,3,208.41,625.23
54,16,43,3,15.73,47.19
55,16,1,4,248.19,992.76
56,16,26,1,84.56,84.56
57,17,3,1,41.88,41.88
58,17,41,3,218.0,654.0
59,18,43,3,15.73,47.19
60,18,32,4,224.11,896.44
61,18,42,3,80.38,241.14
62,19,49,2,132.57,265.14
63,19,47,3,297.46,892.38
64,20,4,4,153.57,614.28
65,20,24,1,110.23,110.23
66,21,32,3,224.11,672.33
67,22,13,1,47.25,47.25
68,22,11,2,265.0,530.0
69,22,3,4,41.88,167.52
70,22,14,2,141.31,282.62
71,22,22,3,171.78,515.34
72,23,31,3,194.12,582.36
73,23,10,2,82.1,164.2
74,23,22,3,171.78,515.34
75,24,47,1,297.46,297.46
76,24,26,3,84.56,253.68
77,25,2,2,317.19,634.38
78,26,42,4,80.38,321.52
79,26,28,3,139.25,417.75
80,27,11,4,265.0,1060.0
81,28,33,3,75.02,225.06
82,28,38,4,165.56,662.24
83,29,23,4,56.01,224.04
84,29,1,3,248.19,744.57
85,29,45,4,208.41,833.64
86,30,14,1,141.31,141.31
87,30,41,3,218.0,654.0
88,30,11,2,265.0,530.0
89,31,2,2,317.19,634.38
90,31,3,2,41.88,83.76
91,31,12,3,150.95,452.85
92,31,21,2,63.45,126.9
93,31,37,2,82.79,165.58
94,32,14,4,141.31,565.24
95,32,47,3,297.46,892.38
96,32,26,1,84.56,84.56
97,33,6,4,213.17,852.68
98,33,40,4,150.45,601.8
99,34,6,2,213.17,426.34
100,34,46,1,243.69,243.69
101,34,36,1,158.8,158.8
102,34,32,1,224.11,224.11
103,35,6,4,213.17,852.68
104,35,37,4,82.79,331.16
105,35,27,4,340.36,1361.44
106,35,24,3,110.23,330.69
107,36,10,2,82.1,164.2
108,37,48,1,220.86,220.86
109,37,8,1,57.74,57.74
110,37,24,2,110.23,220.46
111,37,35,2,156.11,312.22
112,37,33,4,75.02,300.08
113,38,50,3,152.35,457.05
114,38,13,3,47.25,141.75
115,38,44,4,205.1,820.4
116,39,43,2,15.73,31.46
117,39,12,1,150.95,150.95
118,40,33,1,75.02,75.02
119,40,17,1,18.95,18.95
120,41,33,2,75.02,150.04
121,42,40,4,150.45,601.8
122,42,45,2,208.41,416.82
123,42,12,1,150.95,150.95
124,43,32,2,224.11,448.22
125,43,19,1,115.28,115.28
126,43,38,3,165.56,496.68
127,43,47,3,297.46,892.38
128,44,15,1,219.9,219.9
129,44,12,3,150.95,452.85
130,45,4,4,153.57,614.28
131,46,3,4,41.88,167.52
132,46,11,4,265.0,1060.0
133,46,10,2,82.1,164.2
134,46,12,4,150.95,603.8
135,47,8,3,57.74,173.22
136,48,26,4,84.56,338.24
137,48,47,1,297.46,297.46
138,48,31,3,194.12,582.36
139,48,18,2,11.3,22.6
140,48,6,3,213.17,639.51
141,49,27,3,340.36,1021.08
142,49,42,1,80.38,80.38
143,49,29,4,307.15,1228.6
144,49,31,2,194.12,388.24
145,50,31,3,194.12,582.36
146,50,17,4,18.95,75.8
