order_id,customer_id,order_date,status,order_total
1,25,2023-12-13,Returned,1150.11
2,36,2023-01-01,Completed,1573.8
3,29,2023-12-12,Completed,1955.35
4,15,2023-04-12,Completed,259.6
5,31,2023-11-09,Pending,325.56
6,57,2023-11-19,Cancelled,915.2
7,26,2023-07-02,Completed,108.86
8,50,2023-08-06,Completed,469.64
9,36,2023-05-08,Pending,162.78
10,52,2023-10-23,Returned,2387.74
11,17,2023-05-07,Pending,983.92
12,5,2023-11-08,Completed,473.05
13,9,2023-03-19,Completed,1743.21
14,35,2023-08-27,Completed,345.6
15,25,2023-10-27,Returned,435.44
16,31,2023-01-04,Completed,1046.12
17,18,2023-08-12,Completed,289.14
18,43,2023-12-14,Pending,732.04
19,42,2023-08-08,Completed,1537.05
20,22,2023-07-14,Completed,1398.6
21,50,2023-11-30,Completed,382.98
22,54,2023-09-24,Cancelled,844.82
23,37,2023-04-22,Completed,1024.7
24,7,2023-10-24,Completed,1424.22
25,38,2023-11-09,Pending,319.66
26,51,2023-10-17,Pending,881.32
27,43,2023-07-09,Completed,1763.5
28,28,2023-04-01,Returned,1817.63
29,55,2023-05-06,Pending,459.68
30,16,2023-12-31,Cancelled,1627.12
31,52,2023-09-01,Completed,386.63
32,16,2023-12-31,Completed,1644.68
33,15,2023-07-27,Returned,883.09
34,36,2023-09-29,Completed,1956.76
35,15,2023-03-03,Returned,443.8
36,14,2023-09-05,Completed,2005.01
37,20,2023-01-08,Returned,1388.6
38,37,2023-05-26,Completed,1032.62
39,26,2023-11-06,Completed,1826.96
40,39,2023-11-02,Pending,2644.27
41,40,2023-08-08,Pending,229.17
42,11,2023-05-03,Completed,1886.14
43,46,2023-05-25,Returned,1973.0
44,42,2023-03-18,Completed,1025.3
45,39,2023-10-19,Completed,1147.17
46,6,2023-11-03,Completed,651.2
47,49,2023-12-11,Pending,1380.34
48,59,2023-05-23,Completed,1623.63
49,55,2023-03-24,Completed,1247.6
50,21,2023-05-10,Completed,156.72
51,56,2023-09-21,Pending,720.52
52,27,2023-01-28,Completed,1889.68
53,60,2023-10-10,Completed,760.76
54,36,2023-07-28,Completed,276.25
55,32,2023-05-30,Cancelled,1900.28
56,13,2023-11-03,Cancelled,1168.96
57,60,2023-12-13,Cancelled,1258.85
58,29,2023-10-03,Completed,1634.06
59,56,2023-04-07,Returned,811.22
60,3,2023-06-12,Returned,1081.01
61,33,2023-10-30,Completed,79.75
62,34,2023-09-04,Completed,529.85
63,31,2023-05-16,Completed,1377.46
64,16,2023-12-31,Completed,94.78
65,49,2023-11-21,Returned,159.5
66,45,2023-06-03,Completed,108.43
67,19,2023-07-03,Completed,1450.52
68,40,2023-10-19,Cancelled,564.6
69,30,2023-11-24,Completed,742.28
70,29,2023-06-26,Cancelled,696.16
71,13,2023-07-16,Pending,1338.03
72,54,2023-12-15,Completed,1626.31
73,50,2023-04-28,Cancelled,1050.68
74,58,2023-11-18,Returned,216.76
75,3,2023-10-24,Completed,1666.04
76,12,2023-04-13,Completed,2701.23
77,30,2023-11-01,Completed,1390.01
78,6,2023-07-22,Completed,1160.22
79,53,2023-11-23,Completed,476.44
80,31,2023-01-13,Cancelled,2440.22
81,3,2023-01-20,Completed,1835.91
82,43,2023-12-23,Cancelled,2340.19
83,18,2023-01-17,Returned,913.42
84,35,2023-11-27,Completed,375.81
85,13,2023-03-04,Pending,906.39
86,9,2023-10-17,Completed,217.72
87,38,2023-07-11,Pending,295.76
88,18,2023-03-16,Completed,1435.6
89,2,2023-03-31,Completed,315.44
90,34,2023-03-13,Returned,497.12
91,50,2023-07-05,Cancelled,1130.71
92,31,2023-07-25,Completed,193.72
93,5,2023-12-26,Completed,1486.52
94,25,2023-11-02,Cancelled,581.72
95,55,2023-12-02,Returned,2748.88
96,47,2023-02-18,Completed,1423.28
97,54,2023-10-02,Completed,971.98
98,23,2023-10-31,Pending,590.01
99,23,2023-05-21,Cancelled,2214.92
100,37,2023-04-26,Pending,892.13
101,18,2023-12-26,Pending,938.24
102,5,2023-06-15,Returned,586.24
103,25,2023-08-03,Completed,706.73
104,10,2023-03-22,Pending,3641.89
105,14,2023-09-20,Completed,916.2
106,15,2023-07-22,Cancelled,120.5
107,20,2023-04-19,Pending,785.34
108,8,2023-02-21,Completed,1143.58
109,56,2023-01-22,Completed,81.39
110,56,2023-06-10,Cancelled,1588.28
111,2,2023-06-16,Completed,2796.75
112,26,2023-08-05,Returned,771.83
113,34,2023-10-02,Completed,819.05
114,10,2023-05-12,Completed,527.07
115,50,2023-11-18,Completed,1751.87
116,5,2023-09-07,Completed,1191.83
117,30,2023-12-19,Completed,998.94
118,5,2023-10-22,Pending,398.28
119,30,2023-10-28,Completed,1184.99
120,46,2023-02-13,Cancelled,1285.16
121,34,2023-10-08,Cancelled,2118.6
122,50,2023-06-23,Returned,2011.69
123,47,2023-12-03,Cancelled,1135.94
