order_id,customer_id,order_date,status,order_total
1,2,2023-12-21 13:39:16,Completed,1746.09
2,58,2023-07-05 21:15:25,Completed,768.87
3,4,2023-12-07 19:47:06,Completed,1467.36
4,25,2023-12-26 11:11:27,Returned,866.45
5,69,2023-08-23 11:50:52,Cancelled,3126.26
6,5,2023-03-16 19:55:37,Completed,1723.42
7,64,2023-08-29 15:24:36,Pending,1151.93
8,26,2023-11-01 20:56:54,Completed,913.28
9,38,2023-11-27 11:13:08,Pending,1219.57
10,37,2023-01-30 12:52:26,Completed,132.57
11,30,2023-12-13 18:31:32,Cancelled,2692.08
12,66,2023-11-20 11:50:14,Completed,1780.91
13,22,2023-09-07 19:20:44,Cancelled,688.48
14,2,2023-10-08 10:09:14,Completed,477.63
15,16,2023-08-27 11:44:13,Completed,304.7
16,29,2023-12-20 17:15:13,Returned,2131.85
17,64,2023-06-16 20:49:51,Pending,695.88
18,61,2023-05-15 16:10:18,Cancelled,1184.77
19,7,2023-10-07 12:05:31,Cancelled,1157.52
20,40,2023-08-13 09:42:43,Pending,724.51
21,61,2023-04-22 17:23:46,Completed,672.33
22,43,2023-08-11 11:58:01,Returned,1542.73
23,68,2023-07-12 11:44:38,Completed,1261.9
24,11,2023-05-09 12:19:20,Returned,551.14
25,35,2023-04-19 19:39:49,Completed,634.38
26,49,2023-05-19 16:44:42,Completed,739.27
27,17,2023-09-23 14:08:45,Completed,1060.0
28,15,2023-08-31 06:40:20,Completed,887.3
29,38,2023-07-31 19:46:35,Completed,1802.25
30,41,2023-12-26 12:22:08,Cancelled,1325.31
31,1,2023-11-25 06:50:22,Completed,1463.47
32,13,2023-11-24 21:19:26,Completed,1542.18
33,32,2023-08-02 13:19:52,Returned,1454.48
34,24,2023-04-06 19:28:03,Returned,1052.94
35,40,2023-09-16 09:40:00,Completed,2875.97
36,24,2023-10-17 13:48:14,Completed,164.2
37,53,2023-07-20 17:49:22,Returned,1111.36
38,44,2023-08-30 12:53:15,Pending,1419.2
39,69,2023-08-04 19:40:57,Completed,182.41
40,24,2023-05-16 20:30:27,Completed,93.97
41,38,2023-10-16 22:13:34,Completed,150.04
42,56,2023-12-24 14:43:54,Returned,1169.57
43,38,2023-07-12 14:57:42,Completed,1952.56
44,48,2023-06-24 16:32:03,Completed,672.75
45,29,2023-12-06 19:11:20,Completed,614.28
46,24,2023-03-28 22:24:52,Completed,1995.52
47,50,2023-12-02 09:42:13,Completed,173.22
48,6,2023-02-28 22:51:41,Cancelled,1880.17
49,67,2023-11-26 08:53:06,Pending,2718.3
50,7,2023-12-30 19:45:36,Completed,658.16
51,30,2023-12-24 21:47:49,Returned,1021.12
52,12,2023-07-05 07:07:58,Pending,1031.25
53,23,2023-11-24 19:04:12,Cancelled,902.88
54,52,2023-09-10 11:50:14,Completed,1394.81
55,51,2023-11-03 18:12:36,Completed,1249.06
56,55,2023-07-17 07:30:47,Completed,634.38
57,5,2023-11-18 17:37:24,Cancelled,1999.83
58,40,2023-06-22 19:08:38,Completed,1602.37
59,12,2023-11-10 13:30:30,Completed,672.33
60,32,2023-10-01 18:13:00,Completed,1124.0
61,34,2023-05-01 10:16:53,Completed,223.68
62,26,2023-04-14 21:54:30,Cancelled,164.2
63,45,2023-06-20 14:17:19,Cancelled,886.94
64,68,2023-05-13 18:36:53,Returned,354.18
65,20,2023-10-10 01:38:03,Completed,2885.62
66,30,2023-11-14 16:33:34,Completed,1426.1
67,55,2023-03-26 12:01:16,Completed,1262.27
68,60,2023-11-21 13:11:45,Returned,1684.66
69,11,2023-10-19 10:22:56,Completed,1445.2
70,26,2023-07-13 13:39:52,Completed,1615.2
71,39,2023-08-17 09:48:53,Completed,634.38
72,31,2023-11-24 18:27:04,Returned,715.69
73,3,2023-11-17 08:57:43,Pending,1218.0
74,8,2023-11-29 19:46:22,Completed,507.23
75,23,2023-11-07 14:25:04,Completed,2276.37
76,40,2023-12-22 15:44:29,Completed,1372.01
77,5,2023-08-21 11:16:48,Returned,110.23
78,20,2023-06-23 17:27:01,Completed,896.08
79,45,2023-02-26 11:46:11,Completed,1709.68
80,19,2023-01-19 22:23:04,Returned,345.84
81,36,2023-12-30 19:13:23,Completed,1618.64
82,56,2023-11-07 14:41:55,Completed,1229.41
83,58,2023-07-07 19:07:58,Completed,1014.21
84,6,2023-08-27 19:35:52,Cancelled,1289.35
85,56,2023-01-15 23:59:15,Pending,1259.77
86,18,2023-05-15 09:19:23,Completed,2051.36
87,14,2023-07-03 10:29:14,Pending,167.97
88,50,2023-10-21 16:58:08,Completed,971.07
89,43,2023-11-04 16:59:09,Completed,2036.86
90,48,2023-02-21 17:18:07,Cancelled,590.02
91,29,2023-12-03 07:01:00,Completed,167.52
92,59,2023-12-02 17:19:58,Returned,604.83
93,32,2023-09-22 13:14:45,Completed,243.69
94,54,2023-10-27 19:25:01,Completed,699.49
95,59,2023-08-11 18:14:00,Completed,230.96
96,58,2023-02-16 08:31:03,Pending,22.6
97,15,2023-04-26 17:09:58,Completed,1256.53
98,37,2023-09-09 21:38:30,Pending,1679.46
99,64,2023-06-15 20:48:09,Completed,2478.8
100,31,2023-11-17 12:29:23,Completed,1003.63
101,50,2023-11-12 08:40:30,Cancelled,1745.33
102,51,2023-04-24 13:21:49,Completed,304.52
103,25,2023-12-01 17:22:04,Completed,652.16
104,22,2023-11-16 07:26:11,Cancelled,441.72
105,61,2023-11-27 07:41:28,Completed,701.81
106,8,2023-11-12 21:06:44,Pending,566.73
107,69,2023-07-14 20:17:01,Completed,75.02
108,7,2023-11-17 12:35:56,Completed,1311.93
109,24,2023-07-03 16:29:20,Completed,1422.2
110,15,2023-01-27 20:14:17,Completed,1379.86
111,18,2023-07-04 22:10:11,Cancelled,165.56
112,21,2023-11-23 17:23:03,Completed,205.1
113,48,2023-11-02 17:43:40,Completed,1138.72
114,28,2023-02-26 23:11:21,Returned,1223.35
115,51,2023-08-18 12:23:08,Returned,1852.78
116,69,2023-11-02 11:20:15,Completed,1444.33
117,10,2023-01-14 21:55:50,Pending,1036.2
118,50,2023-11-20 20:25:02,Completed,2601.56
119,20,2023-10-31 15:58:50,Completed,1735.89
120,21,2023-09-04 15:54:36,Completed,382.11
121,26,2023-08-09 18:55:47,Completed,444.9
122,1,2023-12-12 16:36:10,Completed,1189.84
123,70,2023-10-07 15:21:25,Completed,731.07
124,67,2023-12-03 10:11:05,Pending,1632.39
125,36,2023-11-21 13:38:23,Pending,1879.7
126,12,2023-11-17 22:33:55,Pending,1866.65
127,40,2023-10-27 19:21:19,Returned,1096.21
128,24,2023-10-12 16:09:12,Completed,1343.4
129,29,2023-12-29 18:48:48,Pending,1158.01
130,40,2023-10-15 14:55:08,Completed,394.41
131,29,2023-12-18 11:27:36,Returned,492.34
132,11,2023-12-24 17:45:11,Pending,1151.41
133,42,2023-10-16 09:56:53,Pending,3594.55
134,20,2023-03-11 15:24:53,Completed,2530.0
135,13,2023-12-30 01:37:37,Completed,1026.21
136,6,2023-02-23 20:17:04,Completed,718.85
137,51,2023-05-27 12:02:12,Pending,1214.37
138,16,2023-12-09 14:53:17,Completed,2257.06
139,35,2023-08-29 18:27:59,Completed,1920.85
140,5,2023-12-13 09:58:43,Completed,1361.44
141,6,2023-03-01 11:44:56,Completed,2001.68
142,36,2023-12-14 23:16:46,Pending,1748.01
143,4,2023-12-21 15:02:26,Completed,1452.14
144,10,2023-02-12 12:26:59,Completed,884.22
145,62,2023-12-25 19:57:52,Completed,361.3
146,70,2023-10-06 02:39:26,Completed,1693.92
147,67,2023-11-26 15:00:10,Completed,56.85
148,25,2023-12-06 19:53:49,Completed,317.6
149,20,2023-07-17 08:29:41,Completed,340.54
150,66,2023-08-15 21:36:39,Pending,410.2
151,6,2023-12-19 19:46:26,Pending,1950.07
152,15,2023-09-11 11:22:09,Completed,230.56
153,59,2023-03-12 15:49:07,Cancelled,45.2
154,60,2023-08-01 11:45:53,Completed,472.22
155,40,2023-07-01 21:11:11,Returned,1202.44
156,70,2023-12-13 19:45:22,Completed,150.91
157,6,2023-08-25 22:48:33,Completed,1210.25
158,36,2023-11-30 12:19:21,Cancelled,1465.55
159,46,2023-04-23 19:59:59,Completed,1297.55
160,42,2023-08-02 08:22:06,Completed,1646.89
161,68,2023-06-22 20:58:19,Pending,538.69
162,29,2023-12-22 16:42:47,Completed,1940.93
163,12,2023-11-01 19:07:32,Completed,1105.46
164,64,2023-12-10 10:51:58,Cancelled,139.25
165,9,2023-12-06 16:13:51,Completed,2014.81
166,20,2023-03-07 19:35:23,Completed,631.25
167,16,2023-09-01 11:15:37,Completed,386.8
168,61,2023-02-12 09:15:09,Completed,1529.21
169,65,2023-11-21 21:22:21,Completed,1084.01
170,61,2023-12-05 06:14:57,Completed,2123.73
171,16,2023-10-30 08:49:58,Completed,3277.52
172,69,2023-05-29 13:26:00,Cancelled,1279.57
173,11,2023-05-23 07:11:21,Returned,709.76
174,61,2023-04-02 20:24:55,Completed,1080.58
