payment_id,order_id,payment_date,payment_method,amount_paid,payment_status
1,1,2023-12-15,Cash on Delivery,1150.11,Refunded
2,2,2023-01-02,Bank Transfer,1573.8,Paid
3,3,2023-12-12,PayPal,1955.35,Paid
4,4,2023-04-13,Bank Transfer,259.6,Paid
5,5,2023-11-09,Cash on Delivery,325.56,Paid
6,7,2023-07-02,Cash on Delivery,108.86,Paid
7,8,2023-08-08,Debit Card,469.64,Paid
8,9,2023-05-10,Bank Transfer,162.78,Paid
9,10,2023-10-23,Debit Card,2387.74,Refunded
10,11,2023-05-08,PayPal,983.92,Paid
11,12,2023-11-09,Bank Transfer,473.05,Paid
12,13,2023-03-19,Credit Card,1743.21,Paid
13,14,2023-08-27,Bank Transfer,345.6,Paid
14,15,2023-10-28,Bank Transfer,435.44,Refunded
15,16,2023-01-05,Bank Transfer,1046.12,Paid
16,17,2023-08-12,PayPal,289.14,Paid
17,18,2023-12-15,Debit Card,732.04,Paid
18,19,2023-08-10,Bank Transfer,1537.05,Paid
19,20,2023-07-16,Cash on Delivery,1398.6,Paid
20,21,2023-11-30,Bank Transfer,382.98,Paid
21,23,2023-04-22,Debit Card,1024.7,Paid
22,24,2023-10-25,Credit Card,1424.22,Paid
23,25,2023-11-10,PayPal,319.66,Paid
24,26,2023-10-19,Bank Transfer,881.32,Paid
25,27,2023-07-10,Bank Transfer,1763.5,Paid
26,28,2023-04-02,Bank Transfer,1817.63,Refunded
27,29,2023-05-08,Cash on Delivery,459.68,Paid
28,31,2023-09-01,PayPal,386.63,Paid
29,32,2024-01-01,Cash on Delivery,1644.68,Paid
30,33,2023-07-29,Debit Card,883.09,Refunded
31,34,2023-09-30,PayPal,1956.76,Paid
32,35,2023-03-03,Bank Transfer,443.8,Refunded
33,36,2023-09-06,PayPal,2005.01,Paid
34,37,2023-01-10,Bank Transfer,1388.6,Refunded
35,38,2023-05-28,Debit Card,1032.62,Paid
36,39,2023-11-07,Bank Transfer,1826.96,Paid
37,40,2023-11-03,Bank Transfer,2644.27,Paid
38,41,2023-08-09,Credit Card,229.17,Paid
39,42,2023-05-05,Debit Card,1886.14,Paid
40,43,2023-05-27,Cash on Delivery,1973.0,Refunded
41,44,2023-03-18,Cash on Delivery,1025.3,Paid
42,45,2023-10-19,Bank Transfer,1147.17,Paid
43,46,2023-11-05,Debit Card,651.2,Paid
44,47,2023-12-12,PayPal,1380.34,Paid
45,48,2023-05-25,Credit Card,1623.63,Paid
46,49,2023-03-25,Bank Transfer,1247.6,Paid
47,50,2023-05-10,PayPal,156.72,Paid
48,51,2023-09-21,PayPal,720.52,Paid
49,52,2023-01-30,Debit Card,1889.68,Paid
50,53,2023-10-12,Bank Transfer,760.76,Paid
51,54,2023-07-29,Credit Card,276.25,Paid
52,58,2023-10-04,Cash on Delivery,1634.06,Paid
53,59,2023-04-08,Cash on Delivery,811.22,Refunded
54,60,2023-06-13,Cash on Delivery,1081.01,Refunded
55,61,2023-11-01,Bank Transfer,79.75,Paid
56,62,2023-09-06,Credit Card,529.85,Paid
57,63,2023-05-17,Cash on Delivery,1377.46,Paid
58,64,2024-01-02,Credit Card,94.78,Paid
59,65,2023-11-21,Debit Card,159.5,Refunded
60,66,2023-06-05,PayPal,108.43,Paid
61,67,2023-07-03,Cash on Delivery,1450.52,Paid
62,69,2023-11-24,Cash on Delivery,742.28,Paid
63,71,2023-07-18,Bank Transfer,1338.03,Paid
64,72,2023-12-16,Bank Transfer,1626.31,Paid
65,74,2023-11-18,Credit Card,216.76,Refunded
66,75,2023-10-24,PayPal,1666.04,Paid
67,76,2023-04-13,Cash on Delivery,2701.23,Paid
68,77,2023-11-03,Cash on Delivery,1390.01,Paid
