transaction_id,account_id,transaction_date,transaction_type,amount,merchant,channel
1,1007,2023-06-21 23:59:44,Transfer,834.66,,POS
2,1053,2023-12-31 23:12:15,POS Purchase,188.61,Car Rental,Branch
3,1020,2023-12-05 14:37:58,Withdrawal,471.35,,Mobile App
4,1029,2023-09-24 21:07:35,Transfer,544.85,,Branch
5,1001,2023-12-28 23:40:08,Payment,791.6,Walmart,Branch
6,1004,2023-08-04 15:45:28,Withdrawal,220.08,,POS
7,1009,2023-07-31 17:06:05,ATM Withdrawal,449.97,,Online
8,1008,2023-07-22 23:05:27,ATM Withdrawal,118.94,,ATM
9,1015,2023-07-10 01:00:44,POS Purchase,764.73,Insurance Co,ATM
10,1029,2023-03-19 04:07:37,Deposit,2563.73,,POS
11,1034,2023-01-11 09:29:37,Transfer,860.7,,POS
12,1012,2023-02-15 10:20:53,POS Purchase,671.33,Electronics Store,Branch
13,1017,2023-08-25 08:15:16,Payment,77.61,Gym Membership,Online
14,1034,2023-06-12 16:53:32,Transfer,1152.91,,Mobile App
15,1048,2023-01-31 01:03:29,Transfer,1756.49,,Branch
16,1004,2023-07-05 21:25:12,Deposit,3721.73,,POS
17,1011,2023-07-17 00:40:04,Payment,777.99,Electronics Store,Branch
18,1053,2023-07-21 03:15:34,POS Purchase,289.57,Local Grocery,Online
19,1016,2023-12-27 10:42:20,Payment,405.47,Target,Branch
20,1013,2023-05-26 11:15:27,Deposit,223.89,,Branch
21,1014,2023-03-16 09:00:24,ATM Withdrawal,104.98,,Branch
22,1044,2023-06-15 04:01:32,Transfer,1504.05,,Online
23,1029,2023-05-01 13:08:15,Deposit,4137.47,,Branch
24,1039,2023-05-21 00:26:59,POS Purchase,220.07,Walmart,ATM
25,1001,2023-01-10 08:02:00,Deposit,2800.14,,Branch
26,1032,2023-03-11 22:39:49,Withdrawal,437.43,,ATM
27,1006,2023-07-12 11:36:09,Transfer,290.09,,Branch
28,1021,2023-12-15 09:58:03,POS Purchase,241.62,Pharmacy,ATM
29,1042,2023-12-31 22:33:25,ATM Withdrawal,384.84,,POS
30,1005,2023-03-16 11:18:10,POS Purchase,141.57,Starbucks,Online
31,1020,2023-07-02 15:17:55,Transfer,1645.11,,Online
32,1029,2023-12-07 21:11:23,Withdrawal,164.14,,Branch
33,1011,2023-01-19 05:44:23,POS Purchase,477.94,Amazon,ATM
34,1045,2023-07-31 15:38:50,Deposit,4833.9,,ATM
35,1042,2023-06-25 20:09:59,Payment,371.2,Walmart,ATM
36,1052,2023-12-22 14:00:10,POS Purchase,292.24,Online Marketplace,Branch
37,1057,2023-03-13 20:53:48,ATM Withdrawal,447.73,,Branch
38,1055,2023-02-18 23:09:26,Deposit,3219.68,,Online
39,1039,2023-05-01 07:56:15,Deposit,2664.9,,Branch
40,1042,2023-01-04 18:22:58,Transfer,2267.09,,ATM
41,1003,2023-10-09 04:10:30,Payment,278.21,Airline Booking,ATM
42,1015,2023-07-04 23:29:21,POS Purchase,377.38,Restaurant,ATM
43,1055,2023-09-02 18:58:00,Withdrawal,41508.92,Hotel Booking,POS
44,1016,2023-06-04 23:19:16,ATM Withdrawal,336.25,,ATM
45,1048,2023-10-08 11:12:46,Transfer,2046.0,,ATM
46,1056,2023-01-02 09:46:05,ATM Withdrawal,195.7,,ATM
47,1016,2023-01-29 13:39:45,ATM Withdrawal,95.21,,Online
48,1053,2023-09-17 18:48:17,Payment,590.45,Pharmacy,Online
49,1035,2023-12-01 10:35:29,Deposit,1279.21,,Online
50,1034,2023-11-10 06:08:35,ATM Withdrawal,408.75,,Online
51,1004,2023-12-07 23:24:53,Transfer,1355.18,,Online
52,1042,2023-08-05 21:53:13,Withdrawal,126.48,,Online
53,1057,2023-12-27 18:17:11,Deposit,1693.1,,ATM
54,1037,2023-02-02 18:28:55,Payment,208.84,Local Grocery,Mobile App
55,1017,2023-12-14 04:40:47,POS Purchase,403.08,Uber,POS
56,1033,2023-09-08 05:16:00,Transfer,708.37,,Branch
57,1049,2023-04-03 19:33:11,Payment,152.49,Netflix,Online
58,1048,2023-07-11 09:39:17,POS Purchase,254.25,Netflix,Mobile App
59,1034,2023-09-20 08:38:38,Withdrawal,472.77,,ATM
60,1043,2023-05-15 06:49:57,Deposit,4783.37,,POS
