session_id,customer_id,session_date,device_type,traffic_source,converted,order_id
1,22,2023-11-06 07:03:15,Desktop,Social Media,False,
2,15,2023-06-04 19:19:31,Tablet,Direct,False,
3,48,2023-11-02 17:09:40,Desktop,Email Campaign,True,113
4,,2023-08-01 15:43:46,Tablet,Organic Search,False,
5,69,2023-12-27 17:15:33,Desktop,Social Media,False,
6,,2023-10-23 00:26:00,Mobile,Referral,False,
7,2,2023-08-04 18:14:19,Mobile,Organic Search,False,
8,51,2023-05-27 11:54:12,Desktop,Email Campaign,True,137
9,59,2023-09-29 15:03:58,Tablet,Email Campaign,False,
10,,2023-04-14 17:23:33,Tablet,Organic Search,False,
11,20,2023-01-13 16:01:56,Mobile,Direct,False,
12,,2023-10-06 11:38:16,Tablet,Referral,False,
13,,2023-06-27 13:33:50,Desktop,Organic Search,False,
14,28,2023-11-16 15:28:13,Mobile,Direct,False,
15,61,2023-04-02 19:56:55,Desktop,Referral,True,174
16,60,2023-08-14 20:44:15,Tablet,Paid Ads,False,
17,2,2023-06-28 13:51:36,Tablet,Social Media,False,
18,,2023-10-01 18:01:42,Tablet,Paid Ads,False,
19,1,2023-11-25 06:11:22,Mobile,Referral,True,31
20,,2023-10-19 14:35:19,Desktop,Social Media,False,
21,53,2023-07-14 19:28:46,Mobile,Social Media,False,
22,,2023-12-06 18:26:39,Tablet,Social Media,False,
23,5,2023-11-01 17:51:39,Desktop,Organic Search,False,
24,3,2023-10-23 21:44:18,Tablet,Email Campaign,False,
25,31,2023-09-03 20:20:20,Desktop,Social Media,False,
26,3,2023-07-24 02:45:09,Tablet,Paid Ads,False,
27,19,2023-08-28 22:15:53,Mobile,Email Campaign,True,308
28,8,2023-07-18 21:51:09,Desktop,Social Media,False,
29,8,2023-11-29 19:17:22,Mobile,Direct,True,74
30,52,2023-05-01 22:15:48,Tablet,Social Media,False,
31,20,2023-06-23 11:43:08,Desktop,Paid Ads,False,
32,,2023-10-21 13:02:46,Desktop,Direct,False,
33,36,2023-11-27 18:13:36,Desktop,Paid Ads,False,
34,1,2023-10-31 15:22:35,Desktop,Social Media,False,
35,13,2023-12-17 12:45:01,Tablet,Referral,True,291
36,69,2023-10-04 20:25:27,Desktop,Organic Search,False,
37,11,2023-10-14 09:12:30,Tablet,Email Campaign,False,
38,50,2023-11-05 11:23:01,Tablet,Direct,False,
39,31,2023-11-24 18:07:04,Tablet,Social Media,True,72
40,54,2023-12-01 20:42:25,Desktop,Direct,False,
41,51,2023-01-14 15:42:22,Tablet,Referral,False,
42,1,2023-11-22 15:18:58,Tablet,Social Media,False,
43,29,2023-12-08 20:30:39,Desktop,Social Media,False,
44,,2023-12-01 21:39:52,Mobile,Organic Search,False,
45,43,2023-04-25 14:45:55,Tablet,Paid Ads,True,191
46,64,2023-06-18 18:13:36,Mobile,Email Campaign,False,
47,38,2023-10-16 22:04:34,Desktop,Direct,True,41
48,20,2023-10-31 15:21:50,Tablet,Referral,True,119
49,,2023-08-11 11:03:26,Tablet,Referral,False,
50,,2023-07-12 18:31:49,Tablet,Social Media,False,
51,14,2023-01-01 18:36:28,Desktop,Email Campaign,False,
52,66,2023-12-06 19:00:24,Tablet,Paid Ads,False,
53,,2023-07-24 08:55:43,Desktop,Email Campaign,False,
54,63,2023-11-22 20:42:38,Desktop,Direct,True,306
55,9,2023-12-11 18:00:04,Tablet,Organic Search,True,343
56,45,2023-08-16 15:15:41,Desktop,Referral,False,
57,,2023-07-24 15:25:30,Desktop,Referral,False,
58,61,2023-08-22 12:01:32,Mobile,Email Campaign,False,
59,68,2023-11-04 22:28:08,Tablet,Social Media,False,
60,28,2023-09-09 02:29:46,Desktop,Organic Search,True,176
61,59,2023-09-30 17:09:21,Tablet,Direct,True,362
62,,2023-07-18 16:09:48,Desktop,Social Media,False,
63,46,2023-11-22 10:16:08,Desktop,Email Campaign,False,
